Theta2,ServoAngle
2.53,3
2.5,3
2.29,3
2.23,3
2.18,3
2.28,3
2.24,3
2.33,3
2.18,3
2.05,3
1.93,3
1.91,4
1.89,4
1.79,4
1.78,4
1.69,4
1.61,4
1.67,4
1.62,4
1.68,4
1.63,4
1.42,4
1.4,5
1.21,5
1.12,5
1.18,5
1.24,5
1.29,5
1.33,5
1.23,5
1.28,5
1.24,5
1.34,5
1.15,5
1.07,5
1.14,5
1.06,5
0.99,6
0.92,6
0.86,6
0.81,6
0.82,6
0.99,6
0.98,6
1.09,7
0.97,7
1.13,7
1.15,7
1.25,7
1.38,7
1.36,7
1.4,7
1.53,7
1.63,7
1.5,7
1.53,7
1.41,7
1.31,8
1.44,8
1.42,8
1.36,8
1.35,8
1.34,8
1.33,8
1.35,8
1.62,8
1.45,8
1.57,8
1.54,8
1.65,8
1.69,8
1.79,8
1.87,9
2,9
1.78,9
1.59,9
1.55,9
1.52,9
1.69,9
1.64,9
1.6,9
1.57,9
1.76,9
1.89,9
1.99,9
1.95,9
1.92,9
2.08,10
2.22,10
2.16,10
2.16,10
2.16,10
2.05,10
1.78,10
1.76,10
1.66,10
1.57,10
1.43,10
1.4,10
1.37,10
1.33,10
1.41,10
1.34,11
1.42,11
1.4,11
1.47,11
1.45,11
1.34,11
1.25,11
1.44,11
1.61,11
1.57,11
1.59,11
1.69,11
1.7,11
1.65,11
1.47,11
1.45,12
1.43,12
1.51,12
1.54,12
1.6,12
1.7,12
1.65,12
1.63,12
1.54,12
1.51,12
1.39,12
1.29,12
1.2,12
1.2,12
1.06,12
1.03,13
1.19,13
1.28,13
1.19,13
1.19,13
1.19,13
1.06,13
1.07,13
0.9,13
0.93,13
1.1,13
1.06,13
1.13,13
1.14,13
1.1,13
1.03,14
0.86,14
0.89,14
0.79,14
0.83,14
0.83,14
0.86,14
0.9,14
0.8,14
0.7,14
0.89,14
0.88,14
1,14
0.97,14
1.19,14
1.14,15
1.1,15
1.06,15
1.03,15
1,15
1.11,15
1.17,15
1.18,15
1.41,15
1.53,15
1.5,15
1.42,15
1.26,15
1.12,15
1.22,15
1.08,16
1.04,16
1.01,16
0.98,16
0.78,16
0.77,16
0.82,16
0.72,16
0.86,16
0.9,16
0.93,16
0.96,16
1.13,16
1.28,16
1.18,16
1.19,17
1.05,17
1.16,17
1.17,17
1.12,17
1.22,17
1.37,17
1.44,17
1.55,17
1.44,17
1.56,17
1.53,17
1.5,17
1.52,17
1.53,17
1.45,18
1.43,18
1.55,18
1.66,18
1.62,18
1.67,18
1.49,18
1.6,18
1.43,18
1.41,18
1.44,18
1.33,18
1.32,18
1.26,18
1.44,18
1.61,19
1.52,19
1.49,19
1.42,19
1.4,19
1.52,19
1.5,19
1.33,19
1.32,19
1.26,19
1.35,19
1.38,19
1.34,19
1.23,19
1.13,19
1.18,20
1.22,20
1.12,20
1.22,20
1.08,20
1.27,20
1.3,20
1.25,20
1.29,20
1.28,20
1.28,20
1.19,20
1.1,20
1.17,20
1.23,20
1.37,21
1.36,21
1.26,21
1.17,21
1.09,21
0.93,21
0.93,21
0.87,21
0.91,21
0.94,21
0.83,21
0.92,21
1,21
1.07,21
1,21
0.99,22
0.93,22
0.88,22
0.82,22
0.87,22
0.9,22
0.9,22
0.85,22
0.85,22
0.81,22
0.62,22
0.54,22
0.63,22
0.6,22
0.44,22
0.35,23
0.21,23
0.22,23
0.29,23
0.49,23
0.39,23
0.35,23
0.4,23
0.39,23
0.44,23
0.35,23
0.21,23
0.05,23
0.04,23
-0.1,23
-0.18,24
-0.53,24
-1.04,24
-1.46,24
-1.84,24
-2.19,24
-2.5,24
-2.78,24
-3.04,24
-3.4,24
-3.73,24
-4.03,24
-3.97,24
-4.09,24
-4.35,24
-4.54,25
-4.67,25
-4.93,25
-4.92,25
-5.01,25
-5.04,25
-5.12,25
-5.13,25
-5.21,25
-5.35,25
-5.35,25
