Frame,Theta1,Theta2,Theta3,ServoAngle,Time(s)
678,-155.69,-21.53,4.66,47,44.117
679,-155.59,-21.57,4.75,47,44.163
680,-155.58,-21.74,4.89,47,44.211
681,-155.55,-21.87,5.02,47,44.272
682,-155.55,-22.07,5.19,47,44.334
683,-155.56,-22.21,5.21,47,44.380
684,-155.49,-22.26,5.30,47,44.441
685,-155.53,-22.46,5.51,47,44.488
686,-155.49,-22.45,5.39,47,44.537
687,-155.46,-22.56,5.58,47,44.598
688,-155.44,-22.67,5.76,47,44.659
689,-155.42,-22.70,5.73,47,44.707
690,-155.43,-22.82,5.88,47,44.773
691,-155.35,-22.72,5.79,48,44.924
692,-155.38,-22.80,5.76,48,44.972
693,-155.41,-22.86,5.73,48,45.034
694,-155.34,-22.93,5.68,48,45.091
695,-155.27,-23.21,5.66,48,45.137
696,-155.07,-23.17,5.35,48,45.185
697,-154.96,-23.32,5.31,48,45.232
698,-154.89,-23.47,5.27,48,45.280
699,-154.77,-23.61,5.37,48,45.327
700,-154.63,-23.55,5.22,48,45.374
701,-154.51,-23.60,5.19,48,45.421
702,-154.45,-23.69,5.25,48,45.483
703,-154.43,-23.87,5.28,48,45.529
704,-154.43,-23.94,5.13,48,45.576
705,-154.45,-24.18,5.22,48,45.623
706,-154.41,-24.12,4.95,49,45.778
707,-154.37,-24.17,4.94,49,45.826
708,-154.38,-24.32,5.01,49,45.889
709,-154.25,-24.42,4.77,49,45.936
710,-154.09,-24.48,4.70,49,45.982
711,-154.00,-24.70,4.80,49,46.031
712,-153.90,-24.87,4.90,49,46.093
713,-153.75,-24.86,4.89,49,46.141
714,-153.62,-24.96,4.91,49,46.188
715,-153.50,-24.99,5.01,49,46.233
716,-153.39,-25.06,5.13,49,46.282
717,-153.31,-25.16,5.27,49,46.329
718,-153.26,-25.16,5.08,49,46.375
719,-153.22,-25.16,4.98,49,46.423
720,-153.24,-25.22,4.95,49,46.475
721,-153.16,-25.17,4.86,50,46.627
722,-153.08,-25.22,5.00,50,46.675
723,-153.10,-25.31,4.82,50,46.721
724,-152.97,-25.35,4.76,50,46.771
725,-152.89,-25.53,4.89,50,46.816
726,-152.80,-25.63,4.75,50,46.877
727,-152.72,-25.72,4.83,50,46.923
728,-152.61,-25.77,4.91,50,46.969
729,-152.48,-25.83,5.15,50,47.030
730,-152.33,-25.73,5.13,50,47.075
731,-152.21,-25.73,5.10,50,47.123
732,-152.19,-25.76,5.04,50,47.185
733,-152.17,-25.84,5.02,50,47.233
734,-152.18,-26.00,5.07,50,47.292
735,-152.12,-26.01,5.12,50,47.341
736,-152.10,-26.00,5.03,51,47.498
737,-152.07,-26.10,5.14,51,47.559
738,-152.05,-26.13,5.05,51,47.604
739,-152.02,-26.15,4.97,51,47.653
740,-151.87,-26.24,5.01,51,47.700
741,-151.76,-26.33,4.92,51,47.760
742,-151.72,-26.57,4.95,51,47.808
743,-151.67,-26.71,4.83,51,47.870
744,-151.58,-26.79,4.86,51,47.916
745,-151.48,-26.80,4.84,51,47.977
746,-151.39,-26.85,4.87,51,48.027
747,-151.32,-26.91,4.84,51,48.073
748,-151.31,-27.01,4.86,51,48.134
749,-151.35,-27.16,4.89,51,48.180
750,-151.21,-27.07,4.81,51,48.229
751,-151.14,-27.03,4.63,52,48.384
752,-151.17,-27.14,4.62,52,48.444
753,-151.13,-27.28,4.57,52,48.493
754,-151.05,-27.55,4.57,52,48.553
755,-151.00,-27.83,4.54,52,48.599
756,-150.87,-27.98,4.57,52,48.655
757,-150.73,-28.09,4.52,52,48.705
758,-150.69,-28.33,4.54,52,48.764
759,-150.70,-28.61,4.55,52,48.827
760,-150.73,-28.87,4.62,52,48.871
761,-150.67,-28.98,4.59,52,48.924
762,-150.60,-29.07,4.57,52,48.982
763,-150.55,-29.13,4.57,52,49.043
764,-150.53,-29.21,4.51,52,49.090
765,-150.51,-29.28,4.46,52,49.141
766,-150.54,-29.38,4.42,53,49.295
767,-150.45,-29.37,4.38,53,49.357
768,-150.39,-29.38,4.32,53,49.404
769,-150.41,-29.63,4.60,53,49.450
770,-150.28,-29.54,4.52,53,49.499
771,-150.16,-29.52,4.33,53,49.560
772,-150.14,-29.73,4.41,53,49.621
773,-150.06,-29.75,4.40,53,49.669
774,-149.99,-29.81,4.38,53,49.731
775,-149.84,-29.70,4.28,53,49.793
776,-149.72,-29.66,4.16,53,49.841
777,-149.65,-29.66,4.10,53,49.889
778,-149.58,-29.65,4.04,53,49.936
779,-149.49,-29.63,3.99,53,49.984
780,-149.44,-29.62,3.90,53,50.030
781,-149.32,-29.55,4.02,54,50.183
782,-149.26,-29.56,4.08,54,50.233
783,-149.23,-29.67,4.00,54,50.292
784,-149.16,-29.75,4.04,54,50.341
785,-149.10,-29.84,4.08,54,50.402
786,-149.08,-29.85,4.02,54,50.451
787,-149.06,-29.95,3.98,54,50.498
788,-149.05,-30.09,4.06,54,50.559
789,-148.92,-29.92,3.96,54,50.604
790,-148.95,-30.16,4.11,54,50.653
791,-148.86,-30.15,4.14,54,50.703
792,-148.76,-30.06,4.10,54,50.762
793,-148.76,-30.09,4.02,54,50.810
794,-148.69,-30.09,4.06,54,50.858
795,-148.64,-30.03,4.10,54,50.906
796,-148.61,-30.00,4.02,55,51.054
797,-148.57,-29.89,3.92,55,51.116
798,-148.41,-30.08,3.79,55,51.177
799,-148.34,-30.40,3.83,55,51.238
800,-148.21,-30.62,3.78,55,51.301
801,-148.11,-30.76,3.67,55,51.347
802,-148.09,-31.03,3.72,55,51.394
803,-148.04,-31.24,3.84,55,51.453
804,-148.01,-31.47,3.99,55,51.500
805,-147.95,-31.66,4.08,55,51.550
806,-147.92,-31.84,4.25,55,51.595
807,-147.83,-31.95,4.40,55,51.641
808,-147.79,-31.99,4.22,55,51.701
809,-147.71,-32.07,4.25,55,51.748
810,-147.68,-32.23,4.39,55,51.805
811,-147.71,-32.49,4.55,56,51.959
812,-147.71,-32.67,4.73,56,52.023
813,-147.55,-32.63,4.53,56,52.084
814,-147.45,-32.68,4.48,56,52.132
815,-147.34,-32.95,4.72,56,52.192
816,-147.13,-32.91,4.63,56,52.240
817,-147.06,-33.03,4.63,56,52.287
818,-146.99,-33.09,4.64,56,52.337
819,-146.87,-33.09,4.56,56,52.384
820,-146.71,-33.07,4.52,56,52.445
821,-146.56,-33.02,4.46,56,52.490
822,-146.44,-33.01,4.39,56,52.537
823,-146.33,-32.98,4.34,56,52.584
824,-146.28,-32.92,4.22,56,52.633
825,-146.17,-32.81,4.12,56,52.694
826,-146.08,-32.71,4.02,57,52.847
827,-146.05,-32.78,4.00,57,52.908
828,-145.96,-32.75,3.90,57,52.954
829,-145.89,-32.84,3.92,57,53.001
830,-145.80,-32.82,3.86,57,53.050
831,-145.70,-32.85,3.89,57,53.111
832,-145.67,-32.94,3.91,57,53.172
833,-145.66,-33.06,3.99,57,53.219
834,-145.55,-33.04,4.00,57,53.266
835,-145.42,-32.97,3.90,57,53.312
836,-145.35,-32.98,3.83,57,53.360
837,-145.37,-33.07,3.77,57,53.406
838,-145.39,-33.16,3.72,57,53.453
839,-145.35,-33.18,3.76,57,53.497
840,-145.29,-33.13,3.68,57,53.543
841,-145.21,-33.03,3.65,58,53.696
842,-145.13,-33.08,3.68,58,53.760
843,-145.06,-33.12,3.71,58,53.807
844,-144.99,-33.15,3.74,58,53.852
845,-144.93,-33.18,3.84,58,53.916
846,-144.91,-33.32,3.89,58,53.962
847,-144.77,-33.25,3.86,58,54.022
848,-144.72,-33.36,3.89,58,54.070
849,-144.61,-33.34,3.91,58,54.131
850,-144.53,-33.36,3.92,58,54.179
851,-144.43,-33.35,4.05,58,54.239
852,-144.39,-33.36,4.02,58,54.301
853,-144.30,-33.31,4.05,58,54.349
854,-144.26,-33.33,4.05,58,54.398
855,-144.22,-33.34,4.10,58,54.445
856,-144.18,-33.37,4.12,59,54.602
857,-144.11,-33.36,4.06,59,54.647
858,-144.08,-33.52,4.13,59,54.692
859,-144.02,-33.86,4.23,59,54.738
860,-143.92,-34.06,4.25,59,54.786
861,-143.85,-34.25,4.18,59,54.848
862,-143.71,-34.33,4.18,59,54.909
863,-143.65,-34.49,4.12,59,54.955
864,-143.58,-34.61,4.15,59,55.005
865,-143.52,-34.65,4.01,59,55.052
866,-143.49,-34.79,4.05,59,55.097
867,-143.43,-34.81,4.02,59,55.146
868,-143.40,-34.92,4.06,59,55.193
869,-143.28,-34.85,4.02,59,55.240
870,-143.21,-34.90,3.97,59,55.287
871,-143.17,-34.94,3.88,60,55.444
872,-143.13,-34.98,3.91,60,55.492
873,-143.11,-35.01,3.76,60,55.539
874,-143.03,-35.16,3.86,60,55.599
875,-142.90,-35.21,3.90,60,55.645
876,-142.76,-35.28,4.03,60,55.692
877,-142.65,-35.25,3.97,60,55.739
878,-142.57,-35.24,4.00,60,55.786
879,-142.52,-35.26,3.95,60,55.848
880,-142.43,-35.33,4.08,60,55.913
881,-142.34,-35.40,4.20,60,55.972
882,-142.31,-35.42,4.09,60,56.022
883,-142.22,-35.37,4.08,60,56.082
884,-142.21,-35.48,4.14,60,56.143
885,-142.21,-35.56,4.18,60,56.206
886,-142.14,-35.55,4.26,61,56.361
887,-142.07,-35.50,4.23,61,56.407
888,-142.12,-35.62,4.17,61,56.468
889,-142.10,-35.88,4.03,61,56.516
890,-141.98,-36.03,3.95,61,56.563
891,-141.88,-36.12,3.80,61,56.611
892,-141.80,-36.27,3.74,61,56.657
893,-141.74,-36.36,3.63,61,56.703
894,-141.76,-36.59,3.52,61,56.749
895,-141.64,-36.57,3.33,61,56.799
896,-141.64,-36.75,3.25,61,56.859
897,-141.59,-36.84,3.22,61,56.905
898,-141.49,-36.81,3.06,61,56.952
899,-141.49,-36.95,3.00,61,56.999
900,-141.46,-37.02,3.03,61,57.046
901,-141.44,-37.18,3.12,62,57.201
902,-141.39,-37.24,3.08,62,57.263
903,-141.37,-37.46,3.13,62,57.311
904,-141.33,-37.64,3.17,62,57.359
905,-141.29,-37.80,3.28,62,57.407
906,-141.18,-37.79,3.14,62,57.471
907,-141.12,-37.89,3.21,62,57.518
908,-141.04,-37.88,3.17,62,57.564
909,-141.02,-38.08,3.33,62,57.623
910,-141.03,-38.22,3.31,62,57.673
911,-141.01,-38.32,3.40,62,57.735
912,-141.03,-38.44,3.37,62,57.796
913,-140.95,-38.45,3.50,62,57.845
914,-140.85,-38.35,3.37,62,57.905
915,-140.85,-38.52,3.59,62,57.968
916,-140.82,-38.48,3.55,63,58.123
917,-140.83,-38.54,3.57,63,58.172
918,-140.76,-38.55,3.44,63,58.232
919,-140.68,-38.70,3.60,63,58.278
920,-140.61,-38.83,3.63,63,58.325
921,-140.54,-38.85,3.54,63,58.375
922,-140.40,-38.80,3.46,63,58.435
923,-140.33,-38.82,3.45,63,58.484
924,-140.29,-38.84,3.38,63,58.533
925,-140.18,-38.78,3.39,63,58.581
926,-140.12,-38.78,3.32,63,58.629
927,-140.10,-38.80,3.26,63,58.675
928,-140.11,-38.86,3.21,63,58.722
929,-140.06,-38.84,3.08,63,58.769
930,-139.95,-38.71,2.92,63,58.816
931,-139.88,-38.68,2.90,64,58.971
932,-139.83,-38.60,2.84,64,59.017
933,-139.75,-38.64,2.75,64,59.065
934,-139.67,-38.75,2.82,64,59.125
935,-139.59,-38.86,2.91,64,59.173
936,-139.53,-38.95,2.88,64,59.235
937,-139.44,-39.00,2.94,64,59.280
938,-139.36,-39.02,2.99,64,59.328
939,-139.21,-38.91,2.93,64,59.375
940,-139.12,-38.94,3.02,64,59.422
941,-139.07,-39.05,3.23,64,59.486
942,-139.05,-39.12,3.16,64,59.531
943,-139.01,-39.21,3.34,64,59.578
944,-138.93,-39.26,3.49,64,59.625
945,-138.86,-39.30,3.56,64,59.672
946,-138.84,-39.31,3.46,65,59.826
947,-138.72,-39.29,3.43,65,59.871
948,-138.64,-39.30,3.39,65,59.918
949,-138.51,-39.25,3.36,65,59.964
950,-138.45,-39.51,3.42,65,60.010
951,-138.43,-39.77,3.29,65,60.057
952,-138.35,-39.95,3.35,65,60.106
953,-138.28,-40.03,3.14,65,60.155
954,-138.18,-40.07,3.06,65,60.214
955,-138.09,-40.19,3.13,65,60.263
956,-138.01,-40.29,3.11,65,60.310
957,-138.00,-40.38,3.15,65,60.373
958,-138.06,-40.66,3.22,65,60.419
959,-138.05,-40.71,3.04,65,60.466
960,-138.01,-40.73,2.90,65,60.512
961,-137.97,-40.73,2.74,66,60.665
962,-137.93,-40.81,2.77,66,60.711
963,-137.90,-40.88,2.87,66,60.759
964,-137.81,-40.95,2.93,66,60.820
965,-137.66,-40.94,3.08,66,60.882
966,-137.62,-41.05,3.12,66,60.944
968,-137.52,-41.06,3.16,66,61.055
969,-137.53,-41.25,3.35,66,61.101
970,-137.47,-41.28,3.38,66,61.162
971,-137.52,-41.42,3.40,66,61.207
972,-137.46,-41.43,3.41,66,61.257
973,-137.48,-41.60,3.61,66,61.305
974,-137.52,-41.69,3.58,66,61.354
975,-137.50,-41.71,3.59,66,61.402
976,-137.41,-41.68,3.51,67,61.557
977,-137.33,-41.64,3.44,67,61.608
978,-137.26,-41.60,3.27,67,61.655
979,-137.27,-41.86,3.08,67,61.703
980,-137.14,-42.04,3.16,67,61.750
981,-137.02,-42.06,2.91,67,61.796
982,-136.95,-42.18,3.02,67,61.859
983,-136.89,-42.29,3.11,67,61.905
984,-136.80,-42.35,3.02,67,61.953
985,-136.72,-42.48,3.03,67,62.013
986,-136.64,-42.60,3.03,67,62.062
987,-136.71,-42.84,3.03,67,62.107
988,-136.70,-43.07,3.19,67,62.168
989,-136.66,-43.09,3.18,67,62.216
990,-136.59,-43.07,3.08,67,62.263
991,-136.63,-43.23,2.99,68,62.419
992,-136.56,-43.20,2.83,68,62.481
993,-136.47,-43.29,2.83,68,62.542
994,-136.39,-43.38,2.83,68,62.591
995,-136.35,-43.56,2.91,68,62.652
996,-136.21,-43.47,2.74,68,62.697
997,-136.13,-43.51,2.93,68,62.744
998,-136.05,-43.53,2.92,68,62.791
999,-135.97,-43.56,2.91,68,62.838
1000,-135.94,-43.69,2.99,68,62.885
1001,-135.94,-43.77,2.89,68,62.934
1002,-135.88,-43.78,2.90,68,62.980
1003,-135.86,-43.81,2.91,68,63.042
1004,-135.90,-43.99,2.98,68,63.090
1005,-135.91,-44.04,2.98,68,63.138
1006,-135.92,-44.08,2.89,69,63.293
1007,-135.86,-44.28,2.94,69,63.337
1008,-135.71,-44.29,2.82,69,63.387
1009,-135.64,-44.44,2.79,69,63.447
1010,-135.57,-44.57,2.85,69,63.496
1011,-135.52,-44.69,2.90,69,63.556
1012,-135.53,-44.86,2.86,69,63.618
1013,-135.44,-44.91,2.74,69,63.666
1014,-135.37,-44.97,2.63,69,63.712
1015,-135.33,-45.04,2.62,69,63.773
1016,-135.30,-45.12,2.61,69,63.820
1017,-135.27,-45.33,2.84,69,63.863
1018,-135.24,-45.37,2.72,69,63.913
1019,-135.22,-45.41,2.61,69,63.960
1020,-135.23,-45.48,2.51,69,64.007
1021,-135.17,-45.47,2.42,70,64.164
1022,-135.05,-45.71,2.56,70,64.212
1023,-134.98,-45.95,2.60,70,64.258
1024,-134.89,-46.05,2.55,70,64.321
1025,-134.83,-46.25,2.57,70,64.366
1026,-134.79,-46.43,2.60,70,64.420
1027,-134.71,-46.57,2.54,70,64.477
1028,-134.64,-46.69,2.49,70,64.536
1029,-134.58,-46.79,2.53,70,64.583
1030,-134.55,-47.00,2.65,70,64.632
1031,-134.53,-47.12,2.58,70,64.693
1032,-134.51,-47.21,2.61,70,64.740
1033,-134.50,-47.30,2.54,70,64.787
1034,-134.48,-47.38,2.58,70,64.838
1035,-134.40,-47.31,2.54,70,64.897
1036,-134.33,-47.32,2.49,71,65.051
1037,-134.27,-47.26,2.45,71,65.098
1038,-134.31,-47.46,2.49,71,65.146
1039,-134.28,-47.72,2.41,71,65.205
1040,-134.16,-47.86,2.43,71,65.251
1041,-134.04,-47.97,2.45,71,65.312
1042,-133.98,-48.12,2.45,71,65.370
1043,-133.92,-48.24,2.38,71,65.417
1044,-133.83,-48.32,2.39,71,65.462
1045,-133.72,-48.29,2.33,71,65.512
1046,-133.71,-48.43,2.27,71,65.574
1047,-133.61,-48.46,2.30,71,65.619
1048,-133.59,-48.48,2.16,71,65.667
1049,-133.53,-48.46,2.14,71,65.711
1050,-133.48,-48.53,2.19,71,65.759
1051,-133.40,-48.47,2.07,72,65.916
1052,-133.37,-48.60,2.11,72,65.962
1053,-133.27,-48.59,2.08,72,66.009
1054,-133.25,-48.71,2.12,72,66.058
1055,-133.19,-48.78,2.15,72,66.104
1056,-133.18,-48.89,2.09,72,66.166
1057,-133.16,-48.98,2.04,72,66.227
1058,-133.06,-48.97,2.09,72,66.274
1059,-132.93,-48.93,2.04,72,66.318
1060,-132.80,-48.89,2.01,72,66.365
1061,-132.73,-48.87,1.95,72,66.412
1062,-132.72,-48.92,1.90,72,66.472
1063,-132.59,-48.84,1.87,72,66.520
1064,-132.57,-48.86,1.83,72,66.567
1065,-132.55,-48.88,1.79,72,66.617
1066,-132.47,-48.83,1.76,73,66.768
1067,-132.36,-48.84,1.73,73,66.816
1068,-132.33,-48.98,1.78,73,66.876
1069,-132.23,-49.04,1.83,73,66.924
1070,-132.15,-49.18,1.94,73,66.971
1071,-132.05,-49.27,2.05,73,67.017
1072,-131.98,-49.38,2.24,73,67.076
1073,-131.86,-49.35,2.34,73,67.126
1074,-131.74,-49.32,2.33,73,67.176
1075,-131.67,-49.39,2.48,73,67.224
1076,-131.68,-49.46,2.47,73,67.284
1077,-131.65,-49.49,2.55,73,67.329
1078,-131.62,-49.56,2.57,73,67.381
1079,-131.54,-49.58,2.69,73,67.441
1080,-131.52,-49.66,2.79,73,67.502
1081,-131.54,-49.68,2.74,74,67.660
1082,-131.56,-49.71,2.69,74,67.718
1083,-131.48,-49.93,2.77,74,67.768
1084,-131.38,-50.12,2.86,74,67.815
1085,-131.38,-50.29,2.77,74,67.863
1086,-131.32,-50.47,2.77,74,67.910
1087,-131.23,-50.60,2.76,74,67.971
1088,-131.12,-50.61,2.68,74,68.021
1089,-131.01,-50.61,2.54,74,68.065
1090,-130.91,-50.61,2.59,74,68.125
1091,-130.92,-50.76,2.60,74,68.170
1092,-130.88,-50.80,2.56,74,68.217
1093,-130.83,-50.83,2.51,74,68.267
1094,-130.90,-51.02,2.54,74,68.311
1095,-130.82,-50.98,2.50,74,68.360
1096,-130.74,-50.97,2.39,75,68.517
1097,-130.74,-51.13,2.48,75,68.577
1098,-130.65,-51.21,2.49,75,68.626
1099,-130.53,-51.18,2.45,75,68.671
1100,-130.52,-51.36,2.59,75,68.720
1101,-130.42,-51.37,2.51,75,68.767
1102,-130.42,-51.55,2.70,75,68.815
1103,-130.46,-51.83,2.84,75,68.864
1104,-130.42,-51.91,2.87,75,68.922
1105,-130.32,-51.87,2.76,75,68.983
1106,-130.26,-51.93,2.83,75,69.045
1107,-130.21,-51.97,2.87,75,69.090
1108,-130.12,-52.00,2.96,75,69.138
1109,-130.06,-52.04,3.04,75,69.198
1110,-130.00,-52.06,3.08,75,69.245
1111,-129.98,-52.12,2.95,76,69.402
1112,-129.89,-52.22,2.95,76,69.448
1113,-129.85,-52.36,2.89,76,69.494
1114,-129.84,-52.59,3.00,76,69.541
1115,-129.80,-52.70,2.94,76,69.588
1116,-129.80,-52.83,2.89,76,69.635
1117,-129.69,-52.94,2.93,76,69.685
1118,-129.69,-53.10,2.95,76,69.737
1119,-129.64,-53.15,2.92,76,69.783
1120,-129.51,-53.09,2.85,76,69.833
1121,-129.54,-53.25,2.88,76,69.896
1122,-129.52,-53.29,2.73,76,69.942
1123,-129.57,-53.43,2.82,76,69.989
1124,-129.51,-53.50,2.87,76,70.049
1125,-129.51,-53.53,2.74,76,70.095
1126,-129.51,-53.63,2.80,77,70.251
1127,-129.50,-53.71,2.73,77,70.312
1128,-129.43,-53.71,2.69,77,70.372
1129,-129.43,-53.85,2.72,77,70.419
1130,-129.47,-54.01,2.73,77,70.466
1131,-129.41,-54.08,2.76,77,70.515
1132,-129.38,-54.09,2.76,77,70.576
1133,-129.36,-54.18,2.68,77,70.624
1134,-129.35,-54.19,2.63,77,70.685
1135,-129.30,-54.14,2.49,77,70.729
1136,-129.29,-54.14,2.46,77,70.779
1137,-129.19,-54.07,2.44,77,70.824
1138,-129.15,-54.06,2.45,77,70.873
1139,-129.16,-54.13,2.49,77,70.919
1140,-129.16,-54.20,2.54,77,70.968
1141,-129.08,-54.14,2.46,78,71.124
1142,-129.10,-54.37,2.49,78,71.172
1143,-129.00,-54.52,2.49,78,71.219
1144,-128.95,-54.69,2.47,78,71.280
1145,-128.82,-54.71,2.53,78,71.328
1146,-128.72,-54.76,2.50,78,71.375
1147,-128.69,-54.84,2.45,78,71.425
1148,-128.63,-54.89,2.40,78,71.470
1149,-128.57,-54.94,2.36,78,71.516
1150,-128.55,-55.01,2.33,78,71.575
1151,-128.47,-55.00,2.32,78,71.635
1152,-128.45,-55.06,2.31,78,71.683
1153,-128.38,-55.05,2.30,78,71.730
1154,-128.31,-55.04,2.29,78,71.775
1155,-128.33,-55.19,2.28,78,71.824
1156,-128.33,-55.23,2.17,79,71.975
1157,-128.29,-55.22,2.18,79,72.037
1158,-128.21,-55.34,2.35,79,72.099
1159,-128.14,-55.45,2.50,79,72.160
1160,-128.13,-55.57,2.51,79,72.222
1161,-128.10,-55.69,2.57,79,72.283
1162,-128.03,-55.73,2.57,79,72.345
1163,-127.94,-55.73,2.57,79,72.391
1164,-127.88,-55.76,2.58,79,72.440
1165,-127.76,-55.72,2.50,79,72.503
1166,-127.80,-55.85,2.56,79,72.548
1167,-127.70,-55.84,2.59,79,72.608
1168,-127.76,-55.97,2.53,79,72.656
1169,-127.70,-55.96,2.46,79,72.709
1170,-127.71,-56.03,2.44,79,72.765
1171,-127.66,-56.02,2.38,80,72.919
1172,-127.60,-56.01,2.35,80,72.965
1173,-127.55,-56.06,2.36,80,73.026
1174,-127.41,-56.03,2.32,80,73.074
1175,-127.38,-56.10,2.31,80,73.122
1176,-127.40,-56.41,2.32,80,73.170
1177,-127.41,-56.71,2.36,80,73.231
1178,-127.32,-56.79,2.30,80,73.278
1179,-127.26,-56.89,2.35,80,73.339
1180,-127.18,-56.96,2.32,80,73.387
1181,-127.14,-57.15,2.46,80,73.449
1182,-127.14,-57.25,2.47,80,73.495
1183,-127.10,-57.23,2.40,80,73.543
1184,-127.07,-57.22,2.35,80,73.617
1185,-127.00,-57.17,2.22,80,73.667
1186,-127.03,-57.27,2.26,81,73.824
1187,-127.00,-57.32,2.18,81,73.885
1188,-126.92,-57.34,2.09,81,73.932
1189,-126.80,-57.36,2.15,81,73.979
1190,-126.69,-57.38,2.10,81,74.041
1191,-126.71,-57.51,1.95,81,74.092
1192,-126.61,-57.53,1.95,81,74.150
1193,-126.61,-57.70,2.02,81,74.199
1194,-126.53,-57.67,1.96,81,74.260
1195,-126.48,-57.67,1.90,81,74.322
1196,-126.37,-57.61,1.85,81,74.368
1197,-126.32,-57.60,1.88,81,74.429
1198,-126.25,-57.60,1.94,81,74.474
1199,-126.27,-57.75,1.98,81,74.524
1200,-126.31,-57.90,2.02,81,74.584
1201,-126.25,-57.95,2.05,82,74.736
1202,-126.21,-57.90,1.96,82,74.794
1203,-126.13,-57.98,1.91,82,74.841
1204,-126.10,-58.26,2.06,82,74.889
1205,-126.08,-58.45,2.03,82,74.936
1206,-126.02,-58.55,2.07,82,74.997
1207,-126.02,-58.79,2.18,82,75.057
1208,-125.93,-58.84,2.20,82,75.119
1209,-125.85,-58.97,2.30,82,75.180
1210,-125.86,-59.09,2.24,82,75.227
1211,-125.88,-59.25,2.30,82,75.274
1212,-125.92,-59.45,2.38,82,75.334
1213,-125.86,-59.50,2.32,82,75.381
1214,-125.86,-59.53,2.27,82,75.430
1215,-125.80,-59.60,2.36,82,75.478
1216,-125.74,-59.61,2.40,83,75.634
1217,-125.68,-59.59,2.30,83,75.680
1218,-125.66,-59.67,2.35,83,75.727
1219,-125.51,-59.62,2.24,83,75.789
1220,-125.42,-59.64,2.21,83,75.836
1221,-125.26,-59.55,2.12,83,75.880
1222,-125.23,-59.58,2.04,83,75.931
1223,-125.20,-59.61,1.96,83,75.995
1224,-125.10,-59.60,1.89,83,76.051
1225,-125.05,-59.59,1.94,83,76.099
1226,-124.96,-59.61,1.94,83,76.147
1227,-124.81,-59.48,1.95,83,76.195
1228,-124.79,-59.55,1.95,83,76.249
1229,-124.70,-59.55,2.03,83,76.297
1230,-124.62,-59.53,2.10,83,76.342
1231,-124.60,-59.65,2.07,84,76.499
1232,-124.56,-59.86,2.14,84,76.546
1233,-124.46,-59.92,2.03,84,76.592
1234,-124.45,-60.08,2.04,84,76.641
1235,-124.36,-60.19,2.01,84,76.701
1236,-124.37,-60.34,1.94,84,76.750
1237,-124.29,-60.41,1.89,84,76.796
1238,-124.25,-60.49,1.76,84,76.842
1239,-124.19,-60.55,1.76,84,76.902
1240,-124.08,-60.57,1.82,84,76.949
1241,-124.13,-60.69,1.78,84,76.997
1242,-124.10,-60.76,1.74,84,77.058
1243,-124.09,-60.83,1.73,84,77.119
1244,-124.11,-60.97,1.69,84,77.181
1245,-124.00,-60.93,1.73,84,77.231
1246,-124.07,-61.13,1.76,85,77.384
1247,-124.15,-61.38,1.74,85,77.440
1248,-124.09,-61.49,1.75,85,77.488
1249,-124.02,-61.56,1.66,85,77.536
1250,-124.04,-61.81,1.78,85,77.583
1251,-123.97,-61.85,1.73,85,77.645
1252,-123.85,-61.80,1.64,85,77.706
1253,-123.77,-61.91,1.77,85,77.754
1254,-123.69,-61.96,1.71,85,77.815
1255,-123.59,-61.99,1.70,85,77.861
1256,-123.56,-62.11,1.75,85,77.908
1257,-123.56,-62.14,1.62,85,77.956
1258,-123.60,-62.27,1.72,85,78.003
1259,-123.58,-62.37,1.76,85,78.050
1260,-123.58,-62.51,1.95,85,78.112
1261,-123.50,-62.48,2.01,86,78.265
1262,-123.46,-62.49,1.99,86,78.313
1263,-123.39,-62.53,2.00,86,78.363
1264,-123.33,-62.62,1.96,86,78.421
1265,-123.25,-62.66,2.01,86,78.470
1266,-123.14,-62.66,2.05,86,78.522
1267,-123.07,-62.68,2.02,86,78.569
1268,-123.06,-62.82,2.09,86,78.633
1269,-123.01,-62.84,2.12,86,78.685
1270,-122.98,-62.97,2.22,86,78.733
1271,-122.79,-62.87,2.21,86,78.777
1272,-122.78,-62.93,2.20,86,78.823
1273,-122.74,-63.03,2.25,86,78.871
1274,-122.76,-63.17,2.34,86,78.920
1275,-122.66,-63.07,2.28,86,78.964
1276,-122.63,-63.08,2.26,87,79.119
1277,-122.66,-63.21,2.38,87,79.181
1278,-122.71,-63.35,2.34,87,79.229
1279,-122.59,-63.32,2.31,87,79.289
1280,-122.52,-63.38,2.38,87,79.337
1281,-122.52,-63.45,2.27,87,79.389
1282,-122.47,-63.45,2.18,87,79.447
1283,-122.42,-63.45,2.09,87,79.496
1284,-122.36,-63.43,2.13,87,79.555
1285,-122.27,-63.38,2.11,87,79.604
1286,-122.24,-63.38,2.04,87,79.649
1287,-122.19,-63.37,2.03,87,79.713
1288,-122.16,-63.38,2.06,87,79.774
1289,-122.06,-63.30,2.05,87,79.824
1290,-122.08,-63.37,1.96,87,79.883
1291,-122.09,-63.40,1.90,88,80.032
1292,-122.06,-63.44,1.90,88,80.085
1293,-121.98,-63.59,1.85,88,80.131
1294,-121.89,-63.71,1.80,88,80.180
1295,-121.84,-63.81,1.82,88,80.241
1296,-121.76,-63.90,1.84,88,80.291
1297,-121.77,-64.11,1.94,88,80.349
1298,-121.71,-64.22,1.97,88,80.396
1299,-121.68,-64.41,2.12,88,80.458
